customer_id,recency,frequency,monetary,Segment
CS1170,13/03/15,18,1272,Silver-P2
CS1171,15/03/15,22,1555,Silver-P2
CS1172,01/07/14,18,1306,Silver-P2
CS1173,26/01/15,21,1429,Silver-P2
CS1174,21/02/15,23,1554,Silver-P2
CS1175,23/01/15,17,1106,Silver-P2
CS1176,15/02/15,18,1401,Silver-P2
CS1177,06/02/15,17,1310,Silver-P2
CS1178,13/02/15,22,1535,Silver-P2
CS1179,29/01/15,29,2091,Premium-P0
CS1180,21/01/15,23,1637,Silver-P2
CS1181,18/01/15,27,1893,Premium-P0
CS1182,04/12/14,24,1749,Silver-P2
CS1183,04/03/15,26,1967,Premium-P0
CS1184,16/03/15,28,1999,Premium-P0
CS1185,05/03/15,27,1801,Premium-P0
CS1186,23/01/15,19,1439,Silver-P2
CS1187,22/02/15,22,1559,Silver-P2
CS1188,12/03/15,16,1010,Silver-P2
CS1189,12/01/15,23,1564,Silver-P2
CS1190,04/02/15,18,1324,Silver-P2
CS1191,09/01/15,21,1522,Silver-P2
CS1192,06/02/15,18,1313,Silver-P2
CS1193,06/06/14,15,953,Gold-P1
CS1194,07/03/15,22,1505,Silver-P2
CS1195,24/02/15,20,1378,Silver-P2
CS1196,15/03/15,23,1559,Silver-P2
CS1197,06/10/14,17,1180,Silver-P2
CS1198,05/03/15,22,1571,Silver-P2
CS1199,12/11/14,20,1344,Silver-P2
CS1200,27/09/14,21,1667,Silver-P2
CS1201,23/01/15,19,1375,Silver-P2
CS1202,21/01/15,20,1331,Silver-P2
CS1203,27/01/15,21,1536,Silver-P2
CS1204,28/01/15,17,1023,Silver-P2
CS1205,13/03/15,17,1103,Silver-P2
CS1206,10/10/14,24,1514,Silver-P2
CS1207,05/02/15,18,1310,Silver-P2
CS1208,09/02/15,15,1000,Gold-P1
CS1209,14/03/15,27,1809,Premium-P0
CS1210,08/12/14,21,1546,Silver-P2
CS1211,18/01/15,18,1218,Silver-P2
CS1212,09/10/14,17,1200,Silver-P2
CS1213,09/11/14,18,1191,Silver-P2
CS1214,09/03/15,19,1289,Silver-P2
CS1215,03/11/14,35,2362,Premium-P0
CS1216,28/10/14,24,1798,Silver-P2
CS1217,29/12/14,20,1431,Silver-P2
CS1218,07/02/15,24,1687,Silver-P2
CS1219,12/03/15,21,1447,Silver-P2
CS1220,24/02/15,9,720,Silver-P2
CS1221,04/10/14,19,1372,Silver-P2
CS1222,30/01/15,21,1585,Silver-P2
CS1223,22/01/15,17,1299,Silver-P2
CS1224,21/11/14,8,578,Silver-P2
CS1225,28/01/15,17,999,Gold-P1
CS1226,21/01/15,18,1213,Silver-P2
CS1227,19/02/15,27,1783,Premium-P0
CS1228,29/01/15,19,1368,Silver-P2
CS1229,17/02/15,19,1194,Silver-P2
CS1230,11/03/15,20,1415,Silver-P2
CS1231,13/10/14,23,1750,Silver-P2
CS1232,11/12/14,20,1452,Silver-P2
CS1233,21/11/14,21,1374,Silver-P2
CS1234,12/03/15,21,1349,Silver-P2
CS1235,26/10/14,22,1507,Silver-P2
CS1236,02/02/15,22,1668,Silver-P2
CS1237,28/08/14,24,1823,Silver-P2
CS1238,24/02/15,26,1808,Premium-P0
CS1239,07/07/14,11,771,Gold-P1
CS1240,13/03/15,30,2126,Premium-P0
CS1241,16/02/15,27,1818,Premium-P0
CS1242,16/01/15,13,943,Gold-P1
CS1243,06/02/15,17,1087,Silver-P2
CS1244,26/10/14,21,1492,Silver-P2
CS1245,03/01/15,19,1321,Silver-P2
CS1246,25/05/14,20,1431,Silver-P2
CS1247,16/02/15,28,1773,Premium-P0
CS1248,07/03/15,17,1172,Silver-P2
CS1249,17/12/14,23,1846,Silver-P2
CS1250,04/03/15,24,1625,Silver-P2
CS1251,14/03/15,14,1035,Silver-P2
CS1252,29/11/14,18,1411,Silver-P2
CS1253,01/01/15,17,1399,Silver-P2
CS1254,13/03/15,21,1599,Silver-P2
CS1255,08/01/15,29,1998,Premium-P0
CS1256,15/08/14,19,1304,Silver-P2
CS1257,19/02/15,15,1050,Silver-P2
CS1258,19/02/15,22,1458,Silver-P2
CS1259,29/09/14,22,1679,Silver-P2
CS1260,21/10/14,26,1941,Premium-P0
CS1261,19/12/14,26,1943,Premium-P0
CS1262,22/12/14,16,1040,Silver-P2
CS1263,13/03/15,14,1096,Silver-P2
CS1264,13/03/15,12,959,Gold-P1
CS1265,24/01/15,14,1128,Silver-P2
CS1266,05/02/15,15,1076,Silver-P2
CS1267,26/11/14,26,1812,Premium-P0
CS1268,10/01/15,27,1946,Premium-P0
CS1269,07/01/15,19,1272,Silver-P2
CS1270,17/02/15,27,1990,Premium-P0
CS1271,09/02/15,25,1683,Premium-P0
CS1272,27/02/15,19,1279,Silver-P2
CS1273,17/02/15,25,1800,Premium-P0
CS1274,11/03/15,20,1381,Silver-P2
CS1275,16/03/15,18,1321,Silver-P2
CS1276,17/02/15,21,1505,Silver-P2
CS1277,18/12/14,17,1142,Silver-P2
CS1278,27/11/14,22,1572,Silver-P2
CS1279,28/01/15,21,1411,Silver-P2
CS1280,03/03/15,21,1262,Silver-P2
CS1281,04/03/15,23,1715,Silver-P2
CS1282,04/11/14,15,1014,Silver-P2
CS1283,25/02/15,22,1683,Silver-P2
CS1284,11/03/15,24,1836,Silver-P2
CS1285,19/02/15,24,1778,Silver-P2
CS1286,07/01/15,21,1511,Silver-P2
CS1287,07/09/14,20,1440,Silver-P2
CS1288,08/07/14,17,1125,Silver-P2
CS1289,13/03/15,19,1355,Silver-P2
CS1290,10/12/14,20,1625,Silver-P2
CS1291,16/03/15,15,1006,Silver-P2
CS1292,23/02/15,18,1307,Silver-P2
CS1293,01/01/15,21,1625,Silver-P2
CS1294,10/02/15,30,2129,Premium-P0
CS1295,13/03/15,22,1487,Silver-P2
CS1296,04/03/15,21,1505,Silver-P2
CS1297,11/01/15,12,765,Gold-P1
CS1298,31/01/15,21,1561,Silver-P2
CS1299,06/12/14,21,1552,Silver-P2
CS1300,09/03/15,18,1309,Silver-P2
CS1301,19/02/15,19,1250,Silver-P2
CS1302,14/02/15,19,1278,Silver-P2
CS1303,02/02/15,22,1634,Silver-P2
CS1304,27/12/14,15,874,Gold-P1
CS1305,01/12/14,16,1031,Silver-P2
CS1306,12/03/15,15,1153,Silver-P2
CS1307,02/01/15,18,1220,Silver-P2
CS1308,26/02/15,21,1487,Silver-P2
CS1309,11/01/15,12,761,Gold-P1
CS1310,16/11/14,15,1103,Silver-P2
CS1311,10/02/15,18,1129,Silver-P2
CS1312,26/02/15,16,1353,Silver-P2
CS1313,05/03/15,29,2072,Premium-P0
CS1314,13/10/13,13,891,Gold-P1
CS1315,01/01/15,15,1030,Silver-P2
CS1316,15/02/15,26,1726,Premium-P0
CS1317,26/02/15,16,1146,Silver-P2
CS1318,28/02/15,22,1693,Silver-P2
CS1319,18/12/14,18,1161,Silver-P2
CS1320,04/03/15,18,1382,Silver-P2
CS1321,16/03/15,21,1668,Silver-P2
CS1322,11/03/15,26,1964,Premium-P0
CS1323,11/11/14,23,1595,Silver-P2
CS1324,20/08/14,24,1611,Silver-P2
CS1325,25/08/14,18,1209,Silver-P2
CS1326,20/02/15,27,1940,Premium-P0
CS1327,02/03/15,23,1525,Silver-P2
CS1328,10/08/14,15,1043,Silver-P2
CS1329,14/11/14,17,1158,Silver-P2
CS1330,17/02/15,23,1750,Silver-P2
CS1331,06/03/15,15,1170,Silver-P2
CS1332,06/11/14,29,2010,Premium-P0
CS1333,29/01/15,8,625,Silver-P2
CS1334,27/12/14,25,1781,Premium-P0
CS1335,15/11/14,17,1157,Silver-P2
CS1336,28/11/14,24,1696,Silver-P2
CS1337,08/02/15,22,1668,Silver-P2
CS1338,25/02/15,18,1436,Silver-P2
CS1339,16/01/15,23,1680,Silver-P2
CS1340,10/11/14,20,1506,Silver-P2
CS1341,07/01/15,13,1038,Silver-P2
CS1342,15/03/15,16,1326,Silver-P2
CS1343,08/01/15,21,1489,Silver-P2
CS1344,20/02/15,25,1638,Premium-P0
CS1345,06/12/14,18,1193,Silver-P2
CS1346,30/09/14,15,1072,Silver-P2
CS1347,12/03/15,30,2000,Premium-P0
CS1348,17/01/15,22,1583,Silver-P2
CS1349,28/02/15,16,1086,Silver-P2
CS1350,12/02/15,27,1996,Premium-P0
CS1351,14/11/14,21,1505,Silver-P2
CS1352,04/02/15,20,1424,Silver-P2
CS1353,23/08/14,19,1408,Silver-P2
CS1354,02/02/14,16,1324,Silver-P2
CS1355,27/01/15,23,1507,Silver-P2
CS1356,26/12/14,24,1740,Silver-P2
CS1357,14/10/14,26,1775,Premium-P0
CS1358,05/03/15,19,1408,Silver-P2
CS1359,24/02/15,16,1145,Silver-P2
CS1360,02/02/15,18,1282,Silver-P2
CS1361,27/02/15,19,1470,Silver-P2
CS1362,10/03/15,23,1703,Silver-P2
CS1363,27/08/14,24,1632,Silver-P2
CS1364,09/01/15,27,1864,Premium-P0
CS1365,27/02/15,19,1225,Silver-P2
CS1366,17/02/15,22,1493,Silver-P2
CS1367,08/01/15,29,2146,Premium-P0
CS1368,12/03/15,15,960,Gold-P1
CS1369,29/01/15,25,1746,Premium-P0
CS1370,26/10/14,26,1864,Premium-P0
CS1371,08/10/14,22,1496,Silver-P2
CS1372,11/06/14,19,1412,Silver-P2
CS1373,21/12/14,30,1967,Premium-P0
CS1374,03/10/14,19,1357,Silver-P2
CS1375,09/11/14,17,1165,Silver-P2
CS1376,10/02/15,25,1512,Premium-P0
CS1377,24/10/14,18,1505,Silver-P2
CS1378,19/02/15,25,1671,Premium-P0
CS1379,31/10/14,15,1134,Silver-P2
CS1380,28/02/15,26,1857,Premium-P0
CS1381,20/02/14,22,1449,Silver-P2
CS1382,12/03/15,25,1845,Premium-P0
CS1383,21/11/14,25,1878,Premium-P0
CS1384,04/03/15,17,964,Gold-P1
CS1385,11/03/15,22,1478,Silver-P2
CS1386,04/01/15,14,998,Gold-P1
CS1387,09/11/14,18,1238,Silver-P2
CS1388,14/02/15,19,1275,Silver-P2
CS1389,25/02/15,18,1189,Silver-P2
CS1390,31/01/15,19,1210,Silver-P2
CS1391,12/03/15,25,1584,Premium-P0
CS1392,01/01/15,17,1227,Silver-P2
CS1393,07/12/14,19,1437,Silver-P2
CS1394,11/03/15,28,2046,Premium-P0
CS1395,02/03/15,22,1704,Silver-P2
CS1396,13/02/15,25,1852,Premium-P0
CS1397,01/10/14,30,2156,Premium-P0
CS1398,15/02/15,20,1354,Silver-P2
CS1399,21/02/15,26,1832,Premium-P0
CS1400,30/12/14,18,1193,Silver-P2
CS1401,02/03/15,30,2023,Premium-P0
CS1402,14/02/15,22,1660,Silver-P2
CS1403,01/02/15,22,1652,Silver-P2
CS1404,25/01/15,28,1900,Premium-P0
CS1405,25/02/15,26,1943,Premium-P0
CS1406,02/03/15,27,1842,Premium-P0
CS1407,03/03/15,28,1916,Premium-P0
CS1408,18/07/14,17,1214,Silver-P2
CS1409,20/12/14,24,1464,Silver-P2
CS1410,16/01/15,15,1160,Silver-P2
CS1411,19/01/15,17,1222,Silver-P2
CS1412,01/03/15,22,1599,Silver-P2
CS1413,16/01/15,19,1396,Silver-P2
CS1414,14/10/14,20,1437,Silver-P2
CS1415,01/01/15,27,1752,Premium-P0
CS1416,04/03/15,20,1513,Silver-P2
CS1417,25/01/15,15,1076,Silver-P2
CS1418,17/10/14,14,1053,Silver-P2
CS1419,16/03/15,27,1915,Premium-P0
CS1420,25/12/14,25,1923,Premium-P0
CS1421,16/01/15,27,1896,Premium-P0
CS1422,11/03/15,15,1211,Silver-P2
CS1423,20/01/15,20,1182,Silver-P2
CS1424,06/03/15,24,1753,Silver-P2
CS1425,04/01/15,23,1688,Silver-P2
CS1426,23/02/15,21,1538,Silver-P2
CS1427,09/03/15,15,985,Gold-P1
CS1428,21/12/14,25,1948,Premium-P0
CS1429,04/11/14,18,1261,Silver-P2
CS1430,03/03/15,21,1440,Silver-P2
CS1431,04/03/15,18,1257,Silver-P2
CS1432,13/03/15,19,1362,Silver-P2
CS1433,05/02/15,20,1468,Silver-P2
CS1434,05/03/15,27,1758,Premium-P0
CS1435,29/01/15,25,1700,Premium-P0
CS1436,16/01/15,14,977,Gold-P1
CS1437,16/02/15,12,880,Gold-P1
CS1438,08/02/15,20,1374,Silver-P2
CS1439,10/02/15,16,1160,Silver-P2
CS1440,05/12/14,22,1577,Silver-P2
CS1441,07/01/15,20,1351,Silver-P2
CS1442,08/03/15,20,1225,Silver-P2
CS1443,22/01/15,24,1876,Silver-P2
CS1444,09/02/15,23,1756,Silver-P2
CS1445,14/03/15,23,1526,Silver-P2
CS1446,03/03/15,15,991,Gold-P1
CS1447,11/03/15,14,1001,Silver-P2
CS1448,05/02/15,16,1239,Silver-P2
CS1449,14/03/15,20,1402,Silver-P2
CS1450,20/02/15,20,1251,Silver-P2
CS1451,24/02/15,22,1715,Silver-P2
CS1452,28/11/14,15,941,Gold-P1
CS1453,04/11/14,22,1640,Silver-P2
CS1454,24/02/15,17,1126,Silver-P2
CS1455,14/03/15,18,1301,Silver-P2
CS1456,24/08/14,20,1363,Silver-P2
CS1457,15/12/14,15,929,Gold-P1
CS1458,11/03/15,20,1422,Silver-P2
CS1459,12/11/14,24,1627,Silver-P2
CS1460,03/02/15,18,1185,Silver-P2
CS1461,17/02/15,23,1567,Silver-P2
CS1462,27/01/15,24,1616,Silver-P2
CS1463,08/11/14,27,1807,Premium-P0
CS1464,23/07/14,21,1613,Silver-P2
CS1465,14/03/15,22,1631,Silver-P2
CS1466,22/02/15,17,1190,Silver-P2
CS1467,10/08/14,18,1233,Silver-P2
CS1468,07/03/15,21,1412,Silver-P2
CS1469,07/03/15,19,1387,Silver-P2
CS1470,23/01/15,22,1649,Silver-P2
CS1471,12/03/15,20,1325,Silver-P2
CS1472,08/03/15,19,1241,Silver-P2
CS1473,13/03/15,25,1695,Premium-P0
CS1474,17/12/14,21,1487,Silver-P2
CS1475,20/01/15,18,1197,Silver-P2
CS1476,29/12/14,20,1430,Silver-P2
CS1477,03/03/15,18,1185,Silver-P2
CS1478,16/12/14,19,1300,Silver-P2
CS1479,18/01/15,20,1567,Silver-P2
CS1480,24/12/14,17,1251,Silver-P2
CS1481,23/12/13,13,876,Gold-P1
CS1482,08/02/15,12,732,Gold-P1
CS1483,01/01/15,24,1774,Silver-P2
CS1484,07/12/14,16,1221,Silver-P2
CS1485,22/02/15,25,1814,Premium-P0
CS1486,27/01/15,19,1377,Silver-P2
CS1487,16/02/15,10,599,Silver-P2
CS1488,03/03/15,23,1595,Silver-P2
CS1489,11/02/15,15,950,Gold-P1
CS1490,21/02/15,25,1788,Premium-P0
CS1491,19/12/14,17,1244,Silver-P2
CS1492,07/02/15,19,1358,Silver-P2
CS1493,11/03/15,21,1531,Silver-P2
CS1494,18/11/14,21,1502,Silver-P2
CS1495,26/02/15,17,1138,Silver-P2
CS1496,21/02/15,18,1222,Silver-P2
CS1497,09/03/15,20,1445,Silver-P2
CS1498,19/01/15,22,1519,Silver-P2
CS1499,30/01/15,26,1879,Premium-P0
CS1500,03/10/14,15,983,Gold-P1
CS1501,09/02/15,26,1965,Premium-P0
CS1502,11/03/15,22,1613,Silver-P2
CS1503,15/03/15,27,1927,Premium-P0
CS1504,31/01/15,13,825,Gold-P1
CS1505,23/01/15,25,1703,Premium-P0
CS1506,30/12/14,18,1307,Silver-P2
CS1507,25/02/15,21,1280,Silver-P2
CS1508,02/03/15,28,1933,Premium-P0
CS1509,21/10/14,20,1383,Silver-P2
CS1510,13/03/15,26,1792,Premium-P0
CS1511,25/01/15,18,1253,Silver-P2
CS1512,21/02/15,20,1239,Silver-P2
CS1513,30/11/14,22,1444,Silver-P2
CS1514,06/10/14,16,1046,Silver-P2
CS1515,02/03/15,22,1742,Silver-P2
CS1516,05/12/14,18,1308,Silver-P2
CS1517,21/12/14,18,1168,Silver-P2
CS1518,12/11/14,19,1151,Silver-P2
CS1519,05/03/15,15,962,Gold-P1
CS1520,13/03/15,18,1162,Silver-P2
CS1521,03/09/14,9,671,Silver-P2
CS1522,10/12/14,14,894,Gold-P1
CS1523,13/08/14,15,928,Gold-P1
CS1524,06/11/14,17,1075,Silver-P2
CS1525,17/02/15,17,1215,Silver-P2
CS1526,13/02/15,19,1324,Silver-P2
CS1527,03/03/15,19,1187,Silver-P2
CS1528,13/03/15,24,1660,Silver-P2
CS1529,07/03/15,25,1823,Premium-P0
CS1530,08/07/14,10,626,Silver-P2
CS1531,09/02/15,25,1793,Premium-P0
CS1532,06/06/14,17,1140,Silver-P2
CS1533,01/02/15,23,1606,Silver-P2
CS1534,07/01/15,20,1379,Silver-P2
CS1535,23/12/14,24,1904,Silver-P2
CS1536,09/02/15,12,753,Gold-P1
CS1537,11/03/15,20,1323,Silver-P2
CS1538,14/03/15,19,1304,Silver-P2
CS1539,19/02/15,20,1371,Silver-P2
CS1540,06/02/15,19,1199,Silver-P2
CS1541,26/10/14,30,2273,Premium-P0
CS1542,27/09/14,27,1808,Premium-P0
CS1543,15/03/15,12,948,Gold-P1
CS1544,22/01/15,19,1334,Silver-P2
CS1545,23/02/15,28,1935,Premium-P0
CS1546,29/08/14,18,1436,Silver-P2
CS1547,19/02/15,22,1600,Silver-P2
CS1548,27/02/15,23,1755,Silver-P2
CS1549,19/02/15,20,1393,Silver-P2
CS1550,25/01/15,22,1583,Silver-P2
CS1551,05/12/14,18,1300,Silver-P2
CS1552,14/02/15,22,1604,Silver-P2
CS1553,10/09/14,20,1444,Silver-P2
CS1554,26/10/14,17,993,Gold-P1
CS1555,13/01/15,23,1571,Silver-P2
CS1556,22/02/15,13,1031,Silver-P2
CS1557,03/02/15,30,1992,Premium-P0
CS1558,25/02/15,23,1500,Silver-P2
CS1559,10/03/15,20,1613,Silver-P2
CS1560,26/01/15,18,1352,Silver-P2
CS1561,15/03/15,15,1082,Silver-P2
CS1562,03/03/14,12,711,Gold-P1
CS1563,05/02/14,17,1108,Silver-P2
CS1564,26/02/15,16,1304,Silver-P2
CS1565,16/11/14,17,1147,Silver-P2
CS1566,07/09/14,21,1491,Silver-P2
CS1567,23/02/15,19,1465,Silver-P2
CS1568,11/02/15,20,1604,Silver-P2
CS1569,19/02/15,15,1074,Silver-P2
CS1570,04/12/14,25,1782,Premium-P0
CS1571,13/02/15,20,1503,Silver-P2
CS1572,10/02/15,15,1085,Silver-P2
CS1573,01/02/15,19,1539,Silver-P2
CS1574,09/03/15,18,1018,Silver-P2
CS1575,29/01/15,26,1611,Premium-P0
CS1576,13/12/14,16,1074,Silver-P2
CS1577,25/02/15,21,1525,Silver-P2
CS1578,18/12/14,16,1125,Silver-P2
CS1579,18/02/15,20,1433,Silver-P2
CS1580,07/09/14,33,2329,Premium-P0
CS1581,07/02/15,23,1501,Silver-P2
CS1582,26/02/15,27,2009,Premium-P0
CS1583,15/02/15,25,1919,Premium-P0
CS1584,02/03/15,21,1512,Silver-P2
CS1585,13/12/14,19,1167,Silver-P2
CS1586,02/01/15,20,1441,Silver-P2
CS1587,07/02/15,27,1900,Premium-P0
CS1588,07/03/15,25,1591,Premium-P0
CS1589,01/03/15,15,1151,Silver-P2
CS1590,13/10/14,16,964,Gold-P1
CS1591,13/10/14,18,1144,Silver-P2
CS1592,10/02/15,19,1215,Silver-P2
CS1593,20/02/15,20,1406,Silver-P2
CS1594,21/02/15,13,901,Gold-P1
CS1595,30/11/14,10,648,Silver-P2
CS1596,26/02/15,19,1342,Silver-P2
CS1597,09/01/15,23,1611,Silver-P2
CS1598,05/02/15,20,1289,Silver-P2
CS1599,18/01/15,15,1028,Silver-P2
CS1600,25/02/15,20,1331,Silver-P2
CS1601,27/12/14,27,1787,Premium-P0
CS1602,18/02/15,20,1401,Silver-P2
CS1603,11/11/14,19,1374,Silver-P2
CS1604,01/03/15,28,1950,Premium-P0
CS1605,28/02/15,27,1685,Premium-P0
CS1606,14/03/15,13,781,Gold-P1
CS1607,14/01/15,19,1384,Silver-P2
CS1608,26/01/15,14,973,Gold-P1
CS1609,30/10/14,20,1375,Silver-P2
CS1610,12/02/15,19,1326,Silver-P2
CS1611,01/07/14,23,1794,Silver-P2
CS1612,25/02/15,26,1759,Premium-P0
CS1613,09/11/14,21,1347,Silver-P2
CS1614,06/03/15,22,1568,Silver-P2
CS1615,13/03/15,20,1419,Silver-P2
CS1616,06/03/15,19,1434,Silver-P2
CS1617,02/12/14,27,1784,Premium-P0
CS1618,22/09/14,13,887,Gold-P1
CS1619,05/03/15,21,1323,Silver-P2
CS1620,20/05/14,16,1320,Silver-P2
CS1621,23/02/15,26,1894,Premium-P0
CS1622,16/03/15,20,1360,Silver-P2
CS1623,28/02/15,26,1777,Premium-P0
CS1624,05/02/15,25,1832,Premium-P0
CS1625,11/03/15,14,950,Gold-P1
CS1626,14/01/15,17,1172,Silver-P2
CS1627,29/12/14,16,1043,Silver-P2
CS1628,23/02/15,21,1456,Silver-P2
CS1629,13/03/15,22,1394,Silver-P2
CS1630,15/03/15,20,1393,Silver-P2
CS1631,03/02/15,18,1223,Silver-P2
CS1632,08/03/15,17,1187,Silver-P2
CS1633,26/02/15,26,1763,Premium-P0
CS1634,02/03/15,15,1044,Silver-P2
CS1635,10/12/14,23,1573,Silver-P2
CS1636,07/01/15,19,1347,Silver-P2
CS1637,22/02/15,22,1496,Silver-P2
CS1638,29/07/14,15,1035,Silver-P2
CS1639,04/03/15,23,1619,Silver-P2
CS1640,15/01/15,19,1232,Silver-P2
CS1641,08/03/15,17,1232,Silver-P2
CS1642,10/02/15,24,1672,Silver-P2
CS1643,22/02/15,27,2087,Premium-P0
CS1644,31/12/14,22,1542,Silver-P2
CS1645,16/07/14,19,1412,Silver-P2
CS1646,17/02/15,17,1185,Silver-P2
CS1647,28/02/15,21,1401,Silver-P2
CS1648,20/11/14,24,1776,Silver-P2
CS1649,27/01/15,16,1197,Silver-P2
CS1650,23/11/14,24,1832,Silver-P2
CS1651,02/12/14,13,927,Gold-P1
CS1652,15/03/15,26,1726,Premium-P0
CS1653,19/11/14,26,1986,Premium-P0
CS1654,16/12/14,19,1384,Silver-P2
CS1655,16/02/15,14,955,Gold-P1
CS1656,24/01/15,14,966,Gold-P1
CS1657,11/11/14,18,1105,Silver-P2
CS1658,15/02/15,20,1389,Silver-P2
CS1659,01/02/15,19,1311,Silver-P2
CS1660,24/02/15,24,1745,Silver-P2
CS1661,17/02/15,32,2051,Premium-P0
CS1662,22/02/15,17,1033,Silver-P2
CS1663,10/12/14,23,1487,Silver-P2
CS1664,03/03/15,25,1954,Premium-P0
CS1665,12/10/14,16,1033,Silver-P2
CS1666,25/01/15,18,1385,Silver-P2
CS1667,02/01/15,20,1313,Silver-P2
CS1668,26/01/15,17,1227,Silver-P2
CS1669,01/03/15,15,1105,Silver-P2
CS1670,25/12/14,16,1191,Silver-P2
CS1671,22/12/14,17,1246,Silver-P2
CS1672,05/11/14,15,1110,Silver-P2
CS1673,21/01/15,26,1784,Premium-P0
CS1674,21/01/15,17,1088,Silver-P2
CS1675,06/02/15,28,2124,Premium-P0
CS1676,09/01/15,28,2088,Premium-P0
CS1677,11/01/15,21,1439,Silver-P2
CS1678,31/12/14,18,1230,Silver-P2
CS1679,09/03/15,28,1976,Premium-P0
CS1680,27/01/15,18,1151,Silver-P2
CS1681,23/11/14,21,1467,Silver-P2
CS1682,10/11/14,15,1075,Silver-P2
CS1683,02/03/15,17,1245,Silver-P2
CS1684,07/01/15,18,1241,Silver-P2
CS1685,13/08/14,22,1569,Silver-P2
CS1686,08/01/15,24,1647,Silver-P2
CS1687,20/02/15,22,1656,Silver-P2
CS1688,05/11/14,17,1167,Silver-P2
CS1689,01/01/15,16,993,Gold-P1
CS1690,21/02/15,19,1354,Silver-P2
CS1691,02/01/15,20,1523,Silver-P2
CS1692,15/03/15,23,1592,Silver-P2
CS1693,01/03/15,12,908,Gold-P1
CS1694,10/01/15,22,1330,Silver-P2
CS1695,13/12/14,32,2174,Premium-P0
CS1696,07/11/14,19,1325,Silver-P2
CS1697,29/11/14,15,1082,Silver-P2
CS1698,11/03/15,19,1397,Silver-P2
CS1699,28/02/15,18,1261,Silver-P2
CS1700,12/07/14,17,1186,Silver-P2
CS1701,19/09/14,18,1190,Silver-P2
CS1702,18/02/15,17,1028,Silver-P2
CS1703,06/01/15,15,890,Gold-P1
CS1704,26/02/15,22,1484,Silver-P2
CS1705,28/12/14,21,1553,Silver-P2
CS1706,14/02/15,23,1681,Silver-P2
CS1707,03/02/15,22,1627,Silver-P2
CS1708,04/02/15,25,1790,Premium-P0
CS1709,08/10/14,23,1629,Silver-P2
CS1710,24/06/14,22,1577,Silver-P2
CS1711,21/12/14,23,1548,Silver-P2
CS1712,16/11/14,21,1411,Silver-P2
CS1713,07/03/15,19,1495,Silver-P2
CS1714,16/03/15,16,1248,Silver-P2
CS1715,28/01/15,20,1314,Silver-P2
CS1716,29/03/14,6,440,Silver-P2
CS1717,26/01/15,14,963,Gold-P1
CS1718,29/12/14,18,1284,Silver-P2
CS1719,09/02/15,17,1166,Silver-P2
CS1720,16/03/15,17,1104,Silver-P2
